PeriodoNum;Administradora;CantidadPacientes
202009;0 - NO DEFINIDO;1
202001;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;12
202002;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;10
202003;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;7
202004;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;12
202005;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;9
202006;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;6
202007;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;9
202008;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;7
202009;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;6
202010;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;7
202011;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;3
202012;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;3
202002;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;2
202003;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;2
202010;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;5
202001;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;2
202003;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
202004;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
202005;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;3
202006;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;4
202012;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
202002;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
202009;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
202004;05615 - DIRECCION MUNICIPAL DE SALUD DE RIONEGRO;1
202006;05615 - DIRECCION MUNICIPAL DE SALUD DE RIONEGRO;1
202010;05615 - DIRECCION MUNICIPAL DE SALUD DE RIONEGRO;1
202012;05615 - DIRECCION MUNICIPAL DE SALUD DE RIONEGRO;1
202006;05686 - DIRECCION MUNICIPAL DE SALUD DE SANTA.RO;1
202007;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
202008;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
202012;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
202001;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;27
202002;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;22
202003;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;13
202004;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
202005;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;4
202006;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;5
202007;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;5
202008;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;2
202009;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;5
202010;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;7
202011;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;9
202003;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
202005;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
202008;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;3
202009;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;3
202010;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
202011;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
202001;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
202003;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
202006;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
202007;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;2
202009;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
202012;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;2
202001;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;3
202004;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;1
202006;13-27 - ASEG SEGUROS COMERCIALES BOLÍVAR S.A.;1
202001;13-29 - SEGUROS DEL ESTADO S.A.;24
202002;13-29 - SEGUROS DEL ESTADO S.A.;16
202003;13-29 - SEGUROS DEL ESTADO S.A.;6
202004;13-29 - SEGUROS DEL ESTADO S.A.;2
202006;13-29 - SEGUROS DEL ESTADO S.A.;1
202008;13-29 - SEGUROS DEL ESTADO S.A.;1
202009;13-29 - SEGUROS DEL ESTADO S.A.;2
202011;13-29 - SEGUROS DEL ESTADO S.A.;2
202001;13-6 - SEGUROS COLPATRIA S.A.;1
202003;13-6 - SEGUROS COLPATRIA S.A.;1
202001;14-1 - COLSEGUROS;2
202002;14-1 - COLSEGUROS;3
202003;14-1 - COLSEGUROS;1
202004;14-1 - COLSEGUROS;5
202005;14-1 - COLSEGUROS;3
202006;14-1 - COLSEGUROS;2
202007;14-1 - COLSEGUROS;1
202009;14-1 - COLSEGUROS;1
202001;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;15
202002;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;16
202003;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;11
202004;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;4
202005;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;13
202006;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;11
202007;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;2
202008;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;10
202009;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;16
202010;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;15
202011;14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.;5
