PeriodoNum;Administradora;CantidadPacientes
201202;0 - NO DEFINIDO;2
201211;0 - NO DEFINIDO;1
201212;0 - NO DEFINIDO;1
201201;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;30
201202;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;20
201203;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;29
201204;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;29
201205;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;16
201206;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;31
201207;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;13
201208;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;16
201209;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;10
201210;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;11
201211;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;9
201212;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;11
201201;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;2
201204;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;2
201205;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;1
201210;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;2
201203;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201204;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201205;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201201;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201212;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201201;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;39
201202;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;31
201203;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;41
201204;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;47
201205;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;40
201206;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;45
201207;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;28
201208;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;18
201209;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;12
201210;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;12
201211;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;7
201212;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;12
201201;13000 - DIRECCIÓN DEPARTAMENTAL DE SALUD DE BOLÍ;1
201203;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
201204;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;2
201205;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;2
201209;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;2
201210;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
201211;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;2
201202;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;3
201207;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
201208;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;3
201211;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
201201;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;1
201202;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;3
201203;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;1
201204;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;1
201205;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;2
201207;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;3
201209;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;6
201210;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;1
201207;13-26 - MAPFRE SEGUROS GENERALES DE COLOMBIA S.A;1
201203;13-9 - CENTRAL DE SEGUROS;1
201207;13-9 - CENTRAL DE SEGUROS;1
201208;13-9 - CENTRAL DE SEGUROS;1
201210;13-9 - CENTRAL DE SEGUROS;1
201208;14-10 - GENERALI COLOMBIA VIDA COMPAÑIA DE SEGUR;1
201208;14-30 - MAPFRE;1
201201;15000 - DIRECCION DEPARTAMENTAL DE SALUD DE BOYA;13
201202;15000 - DIRECCION DEPARTAMENTAL DE SALUD DE BOYA;8
201203;15000 - DIRECCION DEPARTAMENTAL DE SALUD DE BOYA;4
