PeriodoNum;Departamento;CantidadPacientes
201601;05 - Antioquia;194
201602;05 - Antioquia;187
201603;05 - Antioquia;217
201604;05 - Antioquia;213
201605;05 - Antioquia;243
201606;05 - Antioquia;224
201607;05 - Antioquia;243
201608;05 - Antioquia;272
201609;05 - Antioquia;256
201610;05 - Antioquia;259
201611;05 - Antioquia;245
201612;05 - Antioquia;241
201601;08 - Atlántico;47
201602;08 - Atlántico;47
201603;08 - Atlántico;40
201604;08 - Atlántico;73
201605;08 - Atlántico;61
201606;08 - Atlántico;30
201607;08 - Atlántico;49
201608;08 - Atlántico;59
201609;08 - Atlántico;60
201610;08 - Atlántico;41
201611;08 - Atlántico;63
201612;08 - Atlántico;45
201601;11 - Bogotá, D.C.;419
201602;11 - Bogotá, D.C.;371
201603;11 - Bogotá, D.C.;355
201604;11 - Bogotá, D.C.;455
201605;11 - Bogotá, D.C.;380
201606;11 - Bogotá, D.C.;346
201607;11 - Bogotá, D.C.;297
201608;11 - Bogotá, D.C.;384
201609;11 - Bogotá, D.C.;387
201610;11 - Bogotá, D.C.;344
201611;11 - Bogotá, D.C.;310
201612;11 - Bogotá, D.C.;342
201601;13 - Bolívar;50
201602;13 - Bolívar;41
201603;13 - Bolívar;24
201604;13 - Bolívar;48
201605;13 - Bolívar;43
201606;13 - Bolívar;19
201607;13 - Bolívar;25
201608;13 - Bolívar;37
201609;13 - Bolívar;39
201610;13 - Bolívar;42
201611;13 - Bolívar;67
201612;13 - Bolívar;24
201601;15 - Boyacá;53
201602;15 - Boyacá;40
201603;15 - Boyacá;51
201604;15 - Boyacá;40
201605;15 - Boyacá;32
201606;15 - Boyacá;22
201607;15 - Boyacá;20
201608;15 - Boyacá;29
201609;15 - Boyacá;36
201610;15 - Boyacá;32
201611;15 - Boyacá;31
201612;15 - Boyacá;24
201601;17 - Caldas;27
201602;17 - Caldas;21
201603;17 - Caldas;21
201604;17 - Caldas;28
201605;17 - Caldas;31
201606;17 - Caldas;25
201607;17 - Caldas;20
201608;17 - Caldas;27
201609;17 - Caldas;30
201610;17 - Caldas;38
201611;17 - Caldas;13
201612;17 - Caldas;21
201601;18 - Caquetá;9
201602;18 - Caquetá;13
201603;18 - Caquetá;15
201604;18 - Caquetá;17
201605;18 - Caquetá;12
201606;18 - Caquetá;12
201607;18 - Caquetá;10
201608;18 - Caquetá;11
201609;18 - Caquetá;14
201610;18 - Caquetá;11
201611;18 - Caquetá;4
201601;19 - Cauca;20
201602;19 - Cauca;28
201603;19 - Cauca;23
201604;19 - Cauca;36
201605;19 - Cauca;37
201606;19 - Cauca;34
201607;19 - Cauca;21
201608;19 - Cauca;34
201609;19 - Cauca;32
201610;19 - Cauca;27
201611;19 - Cauca;8
201612;19 - Cauca;18
201601;20 - Cesar;10
201602;20 - Cesar;18
201603;20 - Cesar;12
201604;20 - Cesar;17
201605;20 - Cesar;14
