PeriodoNum;Municipio;CantidadPacientes
201801;05001 - Medellín;263
201802;05001 - Medellín;243
201803;05001 - Medellín;263
201804;05001 - Medellín;266
201805;05001 - Medellín;262
201806;05001 - Medellín;237
201807;05001 - Medellín;225
201808;05001 - Medellín;230
201809;05001 - Medellín;216
201810;05001 - Medellín;293
201811;05001 - Medellín;282
201812;05001 - Medellín;271
201803;05002 - Abejorral;1
201804;05002 - Abejorral;1
201805;05002 - Abejorral;1
201806;05002 - Abejorral;1
201808;05002 - Abejorral;1
201809;05002 - Abejorral;1
201810;05002 - Abejorral;1
201809;05021 - Alejandría;1
201801;05030 - Amagá;1
201804;05030 - Amagá;1
201809;05030 - Amagá;1
201810;05030 - Amagá;2
201811;05030 - Amagá;1
201801;05031 - Amalfi;1
201807;05031 - Amalfi;1
201809;05031 - Amalfi;1
201801;05034 - Andes;1
201802;05034 - Andes;3
201803;05034 - Andes;4
201804;05034 - Andes;1
201806;05034 - Andes;2
201807;05034 - Andes;1
201808;05034 - Andes;1
201810;05034 - Andes;1
201811;05034 - Andes;2
201812;05034 - Andes;1
201802;05038 - Angostura;1
201805;05038 - Angostura;1
201806;05038 - Angostura;4
201809;05038 - Angostura;2
201801;05042 - Santafé De Antioquia;4
201802;05042 - Santafé De Antioquia;2
201803;05042 - Santafé De Antioquia;1
201804;05042 - Santafé De Antioquia;2
201805;05042 - Santafé De Antioquia;2
201806;05042 - Santafé De Antioquia;2
201807;05042 - Santafé De Antioquia;2
201809;05042 - Santafé De Antioquia;1
201810;05042 - Santafé De Antioquia;1
201811;05042 - Santafé De Antioquia;3
201805;05044 - Anza;1
201801;05045 - Apartadó;12
201802;05045 - Apartadó;6
201803;05045 - Apartadó;19
201804;05045 - Apartadó;12
201805;05045 - Apartadó;7
201806;05045 - Apartadó;8
201807;05045 - Apartadó;6
201808;05045 - Apartadó;7
201809;05045 - Apartadó;12
201810;05045 - Apartadó;15
201811;05045 - Apartadó;11
201812;05045 - Apartadó;9
201809;05055 - Argelia;1
201804;05079 - Barbosa;1
201805;05079 - Barbosa;1
201806;05079 - Barbosa;1
201807;05079 - Barbosa;1
201808;05079 - Barbosa;2
201810;05079 - Barbosa;2
201811;05079 - Barbosa;1
201804;05086 - Belmira;1
201808;05086 - Belmira;1
201801;05088 - Bello;29
201802;05088 - Bello;54
201803;05088 - Bello;50
201804;05088 - Bello;51
201805;05088 - Bello;63
201806;05088 - Bello;38
201807;05088 - Bello;48
201808;05088 - Bello;55
201809;05088 - Bello;64
201810;05088 - Bello;64
201811;05088 - Bello;39
201812;05088 - Bello;60
201808;05091 - Betania;1
201810;05091 - Betania;1
201803;05101 - Ciudad Bolívar;2
201804;05101 - Ciudad Bolívar;1
201805;05101 - Ciudad Bolívar;1
201806;05101 - Ciudad Bolívar;1
201807;05101 - Ciudad Bolívar;1
201808;05101 - Ciudad Bolívar;1
201809;05101 - Ciudad Bolívar;2
201810;05101 - Ciudad Bolívar;3
201811;05101 - Ciudad Bolívar;1
201812;05101 - Ciudad Bolívar;1
201810;05120 - Cáceres;1
201808;05125 - Caicedo;1
201811;05125 - Caicedo;1
201801;05129 - Caldas;6
201802;05129 - Caldas;5
201803;05129 - Caldas;4
201804;05129 - Caldas;8
201805;05129 - Caldas;3
201806;05129 - Caldas;4
201807;05129 - Caldas;6
201808;05129 - Caldas;7
201809;05129 - Caldas;9
201810;05129 - Caldas;6
201811;05129 - Caldas;6
201812;05129 - Caldas;6
201808;05134 - Campamento;1
201802;05138 - Cañasgordas;1
201804;05138 - Cañasgordas;1
201807;05138 - Cañasgordas;1
201808;05138 - Cañasgordas;1
201810;05138 - Cañasgordas;1
201811;05138 - Cañasgordas;3
201812;05138 - Cañasgordas;2
201802;05142 - Caracolí;1
201805;05142 - Caracolí;1
201809;05145 - Caramanta;1
201801;05147 - Carepa;3
201802;05147 - Carepa;3
201803;05147 - Carepa;2
201805;05147 - Carepa;1
201807;05147 - Carepa;3
201809;05147 - Carepa;1
201810;05147 - Carepa;1
201812;05147 - Carepa;2
201801;05148 - El Carmen De Viboral;1
201802;05148 - El Carmen De Viboral;2
201803;05148 - El Carmen De Viboral;2
201804;05148 - El Carmen De Viboral;2
201806;05148 - El Carmen De Viboral;1
201809;05148 - El Carmen De Viboral;4
201810;05148 - El Carmen De Viboral;1
201811;05148 - El Carmen De Viboral;5
201812;05148 - El Carmen De Viboral;1
201803;05154 - Caucasia;1
201808;05154 - Caucasia;1
201811;05154 - Caucasia;1
201812;05154 - Caucasia;1
201804;05172 - Chigorodó;1
201805;05172 - Chigorodó;1
201807;05172 - Chigorodó;1
201809;05172 - Chigorodó;2
201810;05172 - Chigorodó;1
201806;05190 - Cisneros;1
201812;05190 - Cisneros;1
201803;05197 - Cocorná;1
201806;05197 - Cocorná;1
201807;05197 - Cocorná;1
201809;05197 - Cocorná;1
201810;05197 - Cocorná;1
201811;05197 - Cocorná;1
201812;05197 - Cocorná;1
201809;05206 - Concepción;1
201807;05209 - Concordia;1
201810;05209 - Concordia;1
201801;05212 - Copacabana;1
201803;05212 - Copacabana;3
201804;05212 - Copacabana;3
201805;05212 - Copacabana;3
201806;05212 - Copacabana;1
201807;05212 - Copacabana;4
201808;05212 - Copacabana;5
201809;05212 - Copacabana;2
201810;05212 - Copacabana;4
201811;05212 - Copacabana;7
201812;05212 - Copacabana;2
201809;05234 - Dabeiba;1
201804;05237 - Don Matías;1
201806;05237 - Don Matías;1
201808;05237 - Don Matías;1
201810;05237 - Don Matías;1
201812;05237 - Don Matías;1
201806;05240 - Ebéjico;2
201810;05240 - Ebéjico;1
201811;05240 - Ebéjico;1
201812;05250 - El Bagre;1
201802;05264 - Entrerrios;1
201807;05264 - Entrerrios;1
201801;05266 - Envigado;12
201802;05266 - Envigado;12
201803;05266 - Envigado;10
201804;05266 - Envigado;16
201805;05266 - Envigado;19
201806;05266 - Envigado;21
201807;05266 - Envigado;23
201808;05266 - Envigado;12
201809;05266 - Envigado;18
201810;05266 - Envigado;16
201811;05266 - Envigado;20
201812;05266 - Envigado;14
201803;05282 - Fredonia;1
201806;05282 - Fredonia;1
201811;05282 - Fredonia;1
201804;05284 - Frontino;1
201806;05284 - Frontino;1
201811;05284 - Frontino;1
201802;05308 - Girardota;1
201803;05308 - Girardota;1
201807;05308 - Girardota;2
201808;05308 - Girardota;1
201810;05308 - Girardota;2
201811;05308 - Girardota;3
201812;05308 - Girardota;3
201808;05310 - Gómez Plata;1
201805;05313 - Granada;1
201801;05318 - Guarne;2
201802;05318 - Guarne;1
201804;05318 - Guarne;1
201805;05318 - Guarne;1
201807;05318 - Guarne;1
201808;05318 - Guarne;2
201810;05318 - Guarne;1
201812;05318 - Guarne;1
201804;05321 - Guatape;1
201810;05321 - Guatape;1
201812;05321 - Guatape;1
201812;05353 - Hispania;1
201801;05360 - Itagui;9
201802;05360 - Itagui;7
201803;05360 - Itagui;10
201804;05360 - Itagui;10
201805;05360 - Itagui;16
201806;05360 - Itagui;12
201807;05360 - Itagui;14
201808;05360 - Itagui;9
201809;05360 - Itagui;18
201810;05360 - Itagui;27
201811;05360 - Itagui;26
201812;05360 - Itagui;20
201801;05361 - Ituango;1
201804;05361 - Ituango;1
201807;05361 - Ituango;1
201810;05361 - Ituango;1
201811;05364 - Jardín;1
201801;05368 - Jericó;1
201809;05368 - Jericó;1
201810;05368 - Jericó;1
201801;05376 - La Ceja;4
201802;05376 - La Ceja;3
201803;05376 - La Ceja;1
201804;05376 - La Ceja;3
201805;05376 - La Ceja;6
201806;05376 - La Ceja;7
201807;05376 - La Ceja;3
201808;05376 - La Ceja;6
201809;05376 - La Ceja;9
201810;05376 - La Ceja;5
201812;05376 - La Ceja;2
201804;05380 - La Estrella;1
201806;05390 - La Pintada;1
201811;05390 - La Pintada;1
201801;05400 - La Unión;1
201803;05400 - La Unión;1
201810;05400 - La Unión;1
201811;05400 - La Unión;1
201808;05411 - Liborina;1
201809;05411 - Liborina;1
201811;05411 - Liborina;1
201802;05440 - Marinilla;1
201803;05440 - Marinilla;5
201804;05440 - Marinilla;3
201806;05440 - Marinilla;1
201808;05440 - Marinilla;2
201809;05440 - Marinilla;3
201810;05440 - Marinilla;1
201811;05440 - Marinilla;2
201812;05440 - Marinilla;3
201806;05467 - Montebello;1
201803;05475 - Murindó;2
201807;05475 - Murindó;1
201804;05480 - Mutatá;1
201803;05483 - Nariño;1
201804;05490 - Necoclí;1
201806;05490 - Necoclí;1
201808;05490 - Necoclí;1
201811;05490 - Necoclí;1
201806;05541 - Peñol;1
201810;05541 - Peñol;1
201811;05541 - Peñol;1
201812;05541 - Peñol;1
201805;05543 - Peque;1
201807;05543 - Peque;1
201810;05543 - Peque;1
201801;05576 - Pueblorrico;1
201802;05576 - Pueblorrico;1
201806;05576 - Pueblorrico;1
201812;05576 - Pueblorrico;1
201801;05579 - Puerto Berrío;1
201805;05579 - Puerto Berrío;1
201810;05579 - Puerto Berrío;2
201811;05579 - Puerto Berrío;1
201801;05604 - Remedios;1
201804;05604 - Remedios;1
201806;05604 - Remedios;1
201801;05607 - Retiro;1
201804;05607 - Retiro;1
201801;05615 - Rionegro;36
201802;05615 - Rionegro;36
201803;05615 - Rionegro;32
201804;05615 - Rionegro;33
201805;05615 - Rionegro;35
201806;05615 - Rionegro;25
201807;05615 - Rionegro;32
201808;05615 - Rionegro;30
201809;05615 - Rionegro;42
201810;05615 - Rionegro;42
201811;05615 - Rionegro;43
201812;05615 - Rionegro;36
201809;05628 - Sabanalarga;1
201801;05631 - Sabaneta;2
201802;05631 - Sabaneta;9
201804;05631 - Sabaneta;7
201805;05631 - Sabaneta;7
201806;05631 - Sabaneta;4
201807;05631 - Sabaneta;5
201808;05631 - Sabaneta;4
201809;05631 - Sabaneta;5
201810;05631 - Sabaneta;6
201811;05631 - Sabaneta;5
201812;05631 - Sabaneta;7
201801;05642 - Salgar;1
201804;05642 - Salgar;1
201809;05642 - Salgar;1
201810;05642 - Salgar;1
201805;05647 - San Andrés De Cuerquía;1
201809;05647 - San Andrés De Cuerquía;1
201811;05647 - San Andrés De Cuerquía;1
201807;05649 - San Carlos;2
201810;05649 - San Carlos;1
201812;05649 - San Carlos;1
201805;05652 - San Francisco;1
201801;05656 - San Jerónimo;1
201802;05656 - San Jerónimo;1
201803;05656 - San Jerónimo;1
201805;05656 - San Jerónimo;2
201809;05656 - San Jerónimo;1
201810;05656 - San Jerónimo;1
201811;05656 - San Jerónimo;1
201812;05656 - San Jerónimo;2
201804;05658 - San José De La Montaña;1
201808;05660 - San Luis;1
201810;05660 - San Luis;1
201803;05664 - San Pedro;1
201804;05664 - San Pedro;2
201805;05664 - San Pedro;3
201806;05664 - San Pedro;3
201807;05664 - San Pedro;2
201808;05664 - San Pedro;2
201809;05664 - San Pedro;3
201810;05664 - San Pedro;2
201811;05664 - San Pedro;2
201812;05664 - San Pedro;3
201806;05665 - San Pedro De Uraba;1
201802;05667 - San Rafael;1
201805;05667 - San Rafael;2
201809;05667 - San Rafael;2
201810;05667 - San Rafael;1
201804;05670 - San Roque;2
201809;05670 - San Roque;1
201810;05670 - San Roque;1
201801;05674 - San Vicente;1
201803;05674 - San Vicente;3
201806;05674 - San Vicente;2
201807;05674 - San Vicente;1
201809;05674 - San Vicente;1
201810;05674 - San Vicente;1
201811;05674 - San Vicente;1
201802;05679 - Santa Bárbara;1
201803;05679 - Santa Bárbara;1
201804;05679 - Santa Bárbara;1
201805;05679 - Santa Bárbara;1
201808;05679 - Santa Bárbara;1
201810;05679 - Santa Bárbara;2
201811;05679 - Santa Bárbara;2
201812;05679 - Santa Bárbara;1
201802;05686 - Santa Rosa De Osos;3
201805;05686 - Santa Rosa De Osos;1
201808;05686 - Santa Rosa De Osos;1
201809;05686 - Santa Rosa De Osos;1
201810;05686 - Santa Rosa De Osos;2
201811;05686 - Santa Rosa De Osos;2
201812;05686 - Santa Rosa De Osos;1
201802;05697 - El Santuario;1
201804;05697 - El Santuario;1
201805;05697 - El Santuario;2
201806;05697 - El Santuario;1
201808;05697 - El Santuario;1
201811;05697 - El Santuario;3
201801;05736 - Segovia;2
201802;05736 - Segovia;1
201803;05736 - Segovia;3
201806;05736 - Segovia;1
201809;05736 - Segovia;3
201810;05736 - Segovia;2
201802;05756 - Sonson;1
201803;05756 - Sonson;2
201805;05756 - Sonson;1
201807;05756 - Sonson;1
201808;05756 - Sonson;2
201809;05756 - Sonson;2
201810;05756 - Sonson;2
201811;05756 - Sonson;1
201812;05756 - Sonson;3
