PeriodoNum;Prestadores_basicos;CantidadPacientes
201101;0 - NO DEFINIDO;9
201102;0 - NO DEFINIDO;4
201103;0 - NO DEFINIDO;13
201105;0 - NO DEFINIDO;18
201106;0 - NO DEFINIDO;10
201107;0 - NO DEFINIDO;14
201108;0 - NO DEFINIDO;26
201109;0 - NO DEFINIDO;24
201110;0 - NO DEFINIDO;23
201111;0 - NO DEFINIDO;15
201112;0 - NO DEFINIDO;1
201101;050010001201 - INSTITUTO DEL CORAZON;1
201102;050010001201 - INSTITUTO DEL CORAZON;3
201103;050010001201 - INSTITUTO DEL CORAZON;1
201104;050010001201 - INSTITUTO DEL CORAZON;3
201105;050010001201 - INSTITUTO DEL CORAZON;1
201106;050010001201 - INSTITUTO DEL CORAZON;1
201103;050010016701 - REHABILITAMOS S.A.S;1
201108;050010016701 - REHABILITAMOS S.A.S;1
201112;050010016701 - REHABILITAMOS S.A.S;1
201112;050010025201 - UROCLIN LIMITADA;1
201105;050010027701 - JORGE HERNAN GIRALDO RAMIREZ;1
201101;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;3
201102;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;2
201103;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;3
201104;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;1
201105;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;1
201102;050010087201 - BEATRIZ ELENA RENDON NOREÑA;1
201102;050010094301 - alicia  cortes montoya;1
201102;050010099301 - CARLOS MARIO JIMENEZ YEPEZ;1
201101;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201102;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201105;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201106;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201107;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201108;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201109;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201112;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201102;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;2
201104;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;2
201105;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;3
201106;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201107;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;3
201108;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201109;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;2
201110;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;6
201111;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;3
201112;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201101;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;23
201102;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;26
201103;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;32
201104;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;34
201105;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;37
201106;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;25
