PeriodoNum;Procedimiento;CantidadPacientes
201903;010100 - PUNCIÓN CISTERNAL SOD §;1
201910;010101 - PUNCIÓN CISTERNAL, VÍA LATERAL;1
201902;010200 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR SOD §;1
201901;010201 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO;1
201903;010201 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO;1
201909;010201 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO;1
201911;010201 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO;3
201908;010202 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR POR TREPANACION (SIN CATETER);1
201909;010202 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR POR TREPANACION (SIN CATETER);1
201902;010203 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR A TRAVES DE UN RESERVORIO;1
201903;010203 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR A TRAVES DE UN RESERVORIO;1
201910;010205 - PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR;1
201906;010901 - PUNCIÓN SUBDURAL;1
201912;011201 - BIOPSIA DE MENINGE, POR CRANEOTOMIA;1
201909;011303 - BIOPSIA DE CEREBRO POR TREPANACION;1
201901;012101 - CRANEALIZACION DE SENO FRONTAL;2
201902;012101 - CRANEALIZACION DE SENO FRONTAL;2
201903;012101 - CRANEALIZACION DE SENO FRONTAL;2
201904;012101 - CRANEALIZACION DE SENO FRONTAL;1
201905;012101 - CRANEALIZACION DE SENO FRONTAL;1
201906;012101 - CRANEALIZACION DE SENO FRONTAL;1
201907;012101 - CRANEALIZACION DE SENO FRONTAL;1
201912;012101 - CRANEALIZACION DE SENO FRONTAL;2
201902;012102 - INCISIÓN Y DRENAJE DE SENO FRONTAL;1
201904;012103 - DESFUNCIONALIZACION DE SENO FRONTAL;1
201911;012103 - DESFUNCIONALIZACION DE SENO FRONTAL;1
201904;012300 - REAPERTURA DE CRANEOTOMIA SOD;1
201905;012300 - REAPERTURA DE CRANEOTOMIA SOD;1
201902;012400 - CRANEOTOMIA (DESCOMPRESIVA/EXPLORATORIA) SOD §;1
201903;012400 - CRANEOTOMIA (DESCOMPRESIVA/EXPLORATORIA) SOD §;1
201908;012400 - CRANEOTOMIA (DESCOMPRESIVA/EXPLORATORIA) SOD §;1
201901;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;7
201902;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;6
201903;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;2
201904;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;3
201905;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;2
201906;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;4
201907;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;3
201908;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;3
201910;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;6
201911;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;8
201912;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;5
201901;012402 - DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA;1
201902;012402 - DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA;2
201905;012402 - DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA;1
201907;012402 - DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA;1
201910;012402 - DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA;1
201901;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201902;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201903;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201904;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);3
201905;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201906;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201907;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);3
201908;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);3
201910;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201911;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);4
201912;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);2
201904;012410 - EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA SimultAneo: CUALQUIER ESQUIRLECTOMIA (02.0.2);2
201906;012410 - EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA SimultAneo: CUALQUIER ESQUIRLECTOMIA (02.0.2);1
201908;012410 - EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA SimultAneo: CUALQUIER ESQUIRLECTOMIA (02.0.2);1
201912;012410 - EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA SimultAneo: CUALQUIER ESQUIRLECTOMIA (02.0.2);1
201903;012500 - CRANIECTOMIA SOD §;1
201904;012501 - SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA INCLUYE: DESBRIDAMIENTO O CURETAJE (LIMPIEZA) CRANEAL;1
201912;012501 - SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA INCLUYE: DESBRIDAMIENTO O CURETAJE (LIMPIEZA) CRANEAL;1
201901;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;1
201902;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;2
201903;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;2
201904;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;2
201905;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;3
201906;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;1
201910;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;3
201911;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;4
201912;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;3
201903;012503 - DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA +;2
201904;012503 - DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA +;1
201906;012503 - DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA +;1
201907;012503 - DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA +;1
