PeriodoNum;SeguridadSocial;CantidadPacientes
202201;1 - CONTRIBUTIVO;1076
202202;1 - CONTRIBUTIVO;649
202203;1 - CONTRIBUTIVO;826
202204;1 - CONTRIBUTIVO;946
202205;1 - CONTRIBUTIVO;1480
202206;1 - CONTRIBUTIVO;359
202201;2 - SUBSIDIADO;607
202202;2 - SUBSIDIADO;243
202203;2 - SUBSIDIADO;733
202204;2 - SUBSIDIADO;447
202205;2 - SUBSIDIADO;651
202206;2 - SUBSIDIADO;134
202207;2 - SUBSIDIADO;1
202201;3 - VINCULADO;33
202202;3 - VINCULADO;28
202203;3 - VINCULADO;30
202204;3 - VINCULADO;16
202205;3 - VINCULADO;22
202206;3 - VINCULADO;6
202201;4 - PARTICULAR;18
202202;4 - PARTICULAR;17
202203;4 - PARTICULAR;19
202204;4 - PARTICULAR;24
202205;4 - PARTICULAR;10
202206;4 - PARTICULAR;2
202201;5 - OTRO;78
202202;5 - OTRO;129
202203;5 - OTRO;39
202204;5 - OTRO;126
202205;5 - OTRO;43
202206;5 - OTRO;126
202201;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;7
202202;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;3
202203;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;6
202204;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
202205;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;9
202206;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;5
202205;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
202206;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
202201;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
