PeriodoNum;Sexo;CantidadPacientes
201701;FEMENINO;655
201701;MASCULINO;708
201702;FEMENINO;711
201702;MASCULINO;658
201703;FEMENINO;776
201703;MASCULINO;710
201704;FEMENINO;837
201704;MASCULINO;770
201704;NR - NO REPORTADO;1
201705;FEMENINO;987
201705;MASCULINO;1000
201706;FEMENINO;1024
201706;MASCULINO;980
201707;FEMENINO;966
201707;MASCULINO;981
201708;FEMENINO;1062
201708;MASCULINO;1094
201709;FEMENINO;1098
201709;MASCULINO;1110
201710;FEMENINO;1960
201710;MASCULINO;1570
201711;FEMENINO;7795
201711;MASCULINO;4414
201711;NR - NO REPORTADO;2
201712;FEMENINO;924
201712;MASCULINO;928
201712;NO DEFINIDO;1
